"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
6980.2234, 17.549368222554524, 7261.7598, 15, 0.9759, coolFactor='0.03', startTemp='500'
7053.2269, 18.225584117377675, 7335.9445, 15, 0.9802, coolFactor='0.03', startTemp='500'
7054.2542, 18.018340800181928, 7337.8437, 15, 0.9831, coolFactor='0.03', startTemp='500'
7054.9189, 17.811715810071853, 7339.3833, 15, 0.9861, coolFactor='0.03', startTemp='500'
7054.9200, 17.811715810071853, 7339.3844, 15, 0.9871, coolFactor='0.03', startTemp='500'
7565.9062, 17.69261074627147, 7867.9088, 15, 1.0596, coolFactor='0.03', startTemp='500'
7566.9296, 17.498746896899025, 7869.8033, 15, 1.0628, coolFactor='0.03', startTemp='500'
7567.5941, 17.30517652939106, 7870.3366, 15, 1.0691, coolFactor='0.03', startTemp='500'
7730.4074, 17.94658539782871, 8039.1368, 15, 1.0850, coolFactor='0.03', startTemp='500'
7740.9371, 17.86317649584138, 8051.6193, 15, 1.0916, coolFactor='0.03', startTemp='500'
7740.9383, 17.86317649584138, 8051.6205, 15, 1.0927, coolFactor='0.03', startTemp='500'
10123.7849, 17.966409039497375, 10465.0159, 15, 1.1921, coolFactor='0.03', startTemp='500'
10281.3235, 17.777779851640975, 10633.6280, 15, 1.2323, coolFactor='0.03', startTemp='500'
10282.5312, 17.597627678643104, 10635.7527, 15, 1.2361, coolFactor='0.03', startTemp='500'
10292.8725, 17.519565633548204, 10646.0396, 15, 1.2396, coolFactor='0.03', startTemp='500'
10293.5307, 17.34015338725232, 10648.6239, 15, 1.2430, coolFactor='0.03', startTemp='500'
10368.6474, 17.94827420335067, 10724.9147, 15, 1.2481, coolFactor='0.03', startTemp='500'
10376.2612, 17.840587211151917, 10733.4572, 15, 1.2515, coolFactor='0.03', startTemp='500'
10377.0599, 17.66486434592414, 10734.1528, 15, 1.2548, coolFactor='0.03', startTemp='500'
10377.0611, 17.66486434592414, 10734.1540, 15, 1.2560, coolFactor='0.03', startTemp='500'
10783.5727, 17.759766320792995, 11150.7637, 15, 1.2999, coolFactor='0.03', startTemp='500'
10791.2835, 17.65822587591229, 11159.4037, 15, 1.3034, coolFactor='0.03', startTemp='500'
10867.3799, 18.242554087638855, 11236.6624, 15, 1.3088, coolFactor='0.03', startTemp='500'
10868.1877, 18.069899306438938, 11238.3637, 15, 1.3122, coolFactor='0.03', startTemp='500'
10895.2293, 18.157819969981325, 11266.3895, 15, 1.3160, coolFactor='0.03', startTemp='500'
10905.6177, 18.082354839565685, 11277.7244, 15, 1.3195, coolFactor='0.03', startTemp='500'
10906.8396, 17.920201918253532, 11279.8315, 15, 1.3229, coolFactor='0.03', startTemp='500'
11048.9674, 17.755718058631533, 11427.1960, 15, 1.3439, coolFactor='0.03', startTemp='500'
11050.0804, 17.5986769739187, 11429.1843, 15, 1.3475, coolFactor='0.03', startTemp='500'
11057.7142, 17.505509822168083, 11438.2487, 15, 1.3515, coolFactor='0.03', startTemp='500'
11068.2363, 17.440816161809146, 11450.7158, 15, 1.3551, coolFactor='0.03', startTemp='500'
11068.2377, 17.440816161809146, 11450.7171, 15, 1.3564, coolFactor='0.03', startTemp='500'
11735.5452, 17.532819124536775, 12139.0431, 15, 1.4117, coolFactor='0.03', startTemp='500'
11736.3442, 17.38065928112377, 12141.7365, 15, 1.4155, coolFactor='0.03', startTemp='500'
11811.0349, 17.896919190346658, 12217.5988, 15, 1.4207, coolFactor='0.03', startTemp='500'
11811.6872, 17.742911121674947, 12218.1322, 15, 1.4250, coolFactor='0.03', startTemp='500'
11839.3445, 17.8306117627473, 12247.7734, 15, 1.4292, coolFactor='0.03', startTemp='500'
11885.4245, 17.681214648380614, 12298.7251, 15, 1.4607, coolFactor='0.03', startTemp='500'
11893.2097, 17.5951286315918, 12307.4506, 15, 1.4645, coolFactor='0.03', startTemp='500'
11903.3733, 17.531029545027636, 12318.6282, 15, 1.4685, coolFactor='0.03', startTemp='500'
11978.1470, 18.020234067215878, 12394.5747, 15, 1.4742, coolFactor='0.03', startTemp='500'
11978.7973, 17.872998124462065, 12395.1285, 15, 1.4781, coolFactor='0.03', startTemp='500'
11979.8958, 17.732005319675476, 12397.1133, 15, 1.4818, coolFactor='0.03', startTemp='500'
11987.5843, 17.64827226201693, 12406.2692, 15, 1.4863, coolFactor='0.03', startTemp='500'
11988.2446, 17.507844000808465, 12408.8121, 15, 1.4901, coolFactor='0.03', startTemp='500'
12015.7086, 17.58940854619761, 12436.2497, 15, 1.4954, coolFactor='0.03', startTemp='500'
12016.8151, 17.45536681694713, 12438.2578, 15, 1.4996, coolFactor='0.03', startTemp='500'
12016.8164, 17.45536681694713, 12438.2591, 15, 1.5010, coolFactor='0.03', startTemp='500'
12167.8795, 17.32115859754624, 12596.0080, 15, 1.5362, coolFactor='0.03', startTemp='500'
12329.4899, 17.774875930786134, 12763.0500, 15, 1.5678, coolFactor='0.03', startTemp='500'
12340.0649, 17.717698700844295, 12775.5737, 15, 1.5722, coolFactor='0.03', startTemp='500'
12366.9854, 17.79010260574461, 12803.4815, 15, 1.5797, coolFactor='0.03', startTemp='500'
12374.7079, 17.71141554787755, 12811.1415, 15, 1.5841, coolFactor='0.03', startTemp='500'
12385.0697, 17.654406737911607, 12823.4567, 15, 1.5886, coolFactor='0.03', startTemp='500'
12457.9473, 18.079155879754286, 12897.5139, 15, 1.5944, coolFactor='0.03', startTemp='500'
12458.5981, 17.946076662485837, 12898.0533, 15, 1.5994, coolFactor='0.03', startTemp='500'
12459.7035, 17.818462707779624, 12900.0418, 15, 1.6038, coolFactor='0.03', startTemp='500'
12460.5040, 17.690475515853194, 12902.7449, 15, 1.6081, coolFactor='0.03', startTemp='500'
12468.1821, 17.615724084982233, 12911.3604, 15, 1.6124, coolFactor='0.03', startTemp='500'
12468.1837, 17.615724084982233, 12911.3621, 15, 1.6140, coolFactor='0.03', startTemp='500'
12910.8214, 17.56175782945421, 13359.9330, 15, 1.6413, coolFactor='0.03', startTemp='500'
13262.5435, 17.440032976515152, 13716.8781, 15, 1.6773, coolFactor='0.03', startTemp='500'
13263.2071, 17.317544944094916, 13718.4176, 15, 1.6817, coolFactor='0.03', startTemp='500'
13264.0123, 17.19785877932673, 13719.1044, 15, 1.6861, coolFactor='0.03', startTemp='500'
13337.9391, 17.605937311117597, 13794.2309, 15, 1.6920, coolFactor='0.03', startTemp='500'
13365.8838, 17.67975207396916, 13823.1545, 15, 1.6968, coolFactor='0.03', startTemp='500'
13393.2908, 17.74868173294879, 13852.5804, 15, 1.7049, coolFactor='0.03', startTemp='500'
13468.5154, 18.15340088790571, 13928.9828, 15, 1.7107, coolFactor='0.03', startTemp='500'
13476.2851, 18.080756159095497, 13937.6850, 15, 1.7152, coolFactor='0.03', startTemp='500'
13477.3947, 17.962868601083755, 13939.6740, 15, 1.7198, coolFactor='0.03', startTemp='500'
13487.8521, 17.911073919822428, 13950.0730, 15, 1.7246, coolFactor='0.03', startTemp='500'
13487.8536, 17.911073919822428, 13950.0747, 15, 1.7261, coolFactor='0.03', startTemp='500'
15476.4374, 17.793813618895125, 15987.6730, 15, 1.8645, coolFactor='0.03', startTemp='500'
15477.0978, 17.677226447734704, 15988.2292, 15, 1.8693, coolFactor='0.03', startTemp='500'
15636.9262, 17.56606915673694, 16156.9491, 15, 1.9002, coolFactor='0.03', startTemp='500'
15637.5924, 17.452616107543843, 16158.4967, 15, 1.9049, coolFactor='0.03', startTemp='500'
15711.1623, 17.826667706171673, 16232.2836, 15, 1.9144, coolFactor='0.03', startTemp='500'
15740.1501, 17.90054860967674, 16262.2754, 15, 1.9195, coolFactor='0.03', startTemp='500'
15740.9360, 17.78792121222145, 16264.9619, 15, 1.9243, coolFactor='0.03', startTemp='500'
15740.9376, 17.78792121222145, 16264.9634, 15, 1.9258, coolFactor='0.03', startTemp='500'
18129.0050, 17.739936887828353, 18680.3419, 15, 2.0335, coolFactor='0.03', startTemp='500'
18238.7674, 17.67444166579804, 18794.3892, 15, 2.0691, coolFactor='0.03', startTemp='500'
18246.3803, 17.6094966565409, 18802.9415, 15, 2.0741, coolFactor='0.03', startTemp='500'
18247.5947, 17.504367648026882, 18804.0371, 15, 2.0791, coolFactor='0.03', startTemp='500'
18248.2496, 17.39701452528595, 18806.5695, 15, 2.0840, coolFactor='0.03', startTemp='500'
18275.0535, 17.456519881381265, 18834.3707, 15, 2.0890, coolFactor='0.03', startTemp='500'
18348.5192, 17.808738170179932, 18908.0110, 15, 2.0956, coolFactor='0.03', startTemp='500'
18358.8666, 17.762072092294694, 18919.3109, 15, 2.1008, coolFactor='0.03', startTemp='500'
18359.6639, 17.656669933603418, 18921.0011, 15, 2.1058, coolFactor='0.03', startTemp='500'
18360.7665, 17.554453243443994, 18923.9816, 15, 2.1108, coolFactor='0.03', startTemp='500'
18387.6574, 17.611699110159844, 18951.8678, 15, 2.1161, coolFactor='0.03', startTemp='500'
18387.6591, 17.611699110159844, 18951.8695, 15, 2.1178, coolFactor='0.03', startTemp='500'
18397.9128, 17.56680113367918, 18962.0729, 15, 2.1231, coolFactor='0.03', startTemp='500'
18512.9565, 17.464358680898492, 19081.3334, 15, 2.1643, coolFactor='0.03', startTemp='500'
18520.6766, 17.405593995588372, 19090.9845, 15, 2.1750, coolFactor='0.03', startTemp='500'
18521.4898, 17.306205169883317, 19092.6904, 15, 2.1805, coolFactor='0.03', startTemp='500'
18597.2551, 17.654132496742974, 19169.6171, 15, 2.1878, coolFactor='0.03', startTemp='500'
18607.5395, 17.610488859154064, 19180.8397, 15, 2.1939, coolFactor='0.03', startTemp='500'
18682.4277, 17.94737526809468, 19256.8952, 15, 2.2009, coolFactor='0.03', startTemp='500'
18690.1183, 17.887363517493533, 19265.5135, 15, 2.2061, coolFactor='0.03', startTemp='500'
18691.3510, 17.790501519691112, 19267.6255, 15, 2.2117, coolFactor='0.03', startTemp='500'
18692.0040, 17.691407732880872, 19268.1966, 15, 2.2175, coolFactor='0.03', startTemp='500'
18692.7951, 17.594247691932765, 19270.8982, 15, 2.2230, coolFactor='0.03', startTemp='500'
18720.1732, 17.6501225907462, 19298.2713, 15, 2.2288, coolFactor='0.03', startTemp='500'
18730.6743, 17.609469466588713, 19310.7225, 15, 2.2346, coolFactor='0.03', startTemp='500'
18730.6763, 17.609469466588713, 19310.7245, 15, 2.2366, coolFactor='0.03', startTemp='500'
19473.6417, 17.933109963681066, 20065.9095, 15, 2.2827, coolFactor='0.03', startTemp='500'
19734.5074, 17.874983547778612, 20333.1381, 15, 2.3380, coolFactor='0.03', startTemp='500'
19735.5278, 17.780793943884653, 20335.0389, 15, 2.3433, coolFactor='0.03', startTemp='500'
19762.7872, 17.83342017730077, 20363.2942, 15, 2.3492, coolFactor='0.03', startTemp='500'
19763.4434, 17.738486160889515, 20365.8339, 15, 2.3550, coolFactor='0.03', startTemp='500'
19764.2595, 17.64547556573218, 20367.5417, 15, 2.3606, coolFactor='0.03', startTemp='500'
19771.9927, 17.5912799522525, 20375.2096, 15, 2.3661, coolFactor='0.03', startTemp='500'
19799.0074, 17.642460931902345, 20404.7227, 15, 2.3722, coolFactor='0.03', startTemp='500'
19872.4261, 17.94391058844489, 20478.3225, 15, 2.3803, coolFactor='0.03', startTemp='500'
19873.2466, 17.851819554964703, 20480.0300, 15, 2.3858, coolFactor='0.03', startTemp='500'
19874.3608, 17.762283165824606, 20482.0338, 15, 2.3915, coolFactor='0.03', startTemp='500'
19874.3625, 17.762283165824606, 20482.0355, 15, 2.3932, coolFactor='0.03', startTemp='500'
20292.6552, 17.67125065783237, 20919.1498, 15, 2.4396, coolFactor='0.03', startTemp='500'
20302.9078, 17.631968340545736, 20931.3436, 15, 2.4454, coolFactor='0.03', startTemp='500'
20303.5639, 17.542590547862805, 20932.8779, 15, 2.4513, coolFactor='0.03', startTemp='500'
20330.8423, 17.593531928137335, 20960.1429, 15, 2.4573, coolFactor='0.03', startTemp='500'
20331.9697, 17.50773831953605, 20962.1869, 15, 2.4635, coolFactor='0.03', startTemp='500'
20339.5830, 17.45644027457954, 20971.7986, 15, 2.4696, coolFactor='0.03', startTemp='500'
20340.3984, 17.370631662840697, 20973.0264, 15, 2.4755, coolFactor='0.03', startTemp='500'
20413.5221, 17.65650756542499, 21047.3290, 15, 2.4827, coolFactor='0.03', startTemp='500'
20423.8994, 17.61933740426083, 21059.6558, 15, 2.4888, coolFactor='0.03', startTemp='500'
20424.6924, 17.533894180646403, 21061.3424, 15, 2.4948, coolFactor='0.03', startTemp='500'
20499.7787, 17.824524114830325, 21137.6123, 15, 2.5025, coolFactor='0.03', startTemp='500'
20650.0125, 17.74057915342513, 21294.1347, 15, 2.5546, coolFactor='0.03', startTemp='500'
20660.2351, 17.702940007448195, 21305.3078, 15, 2.5644, coolFactor='0.03', startTemp='500'
20687.6489, 17.751221654426992, 21334.7142, 15, 2.5707, coolFactor='0.03', startTemp='500'
20695.4843, 17.702102092233034, 21343.4824, 15, 2.5771, coolFactor='0.03', startTemp='500'
20696.1395, 17.61809680966908, 21344.0302, 15, 2.5832, coolFactor='0.03', startTemp='500'
20723.6398, 17.666508252714195, 21373.5103, 15, 2.5895, coolFactor='0.03', startTemp='500'
20724.8845, 17.586370946139823, 21375.7467, 15, 2.5959, coolFactor='0.03', startTemp='500'
20725.6822, 17.50484324427484, 21377.4748, 15, 2.6019, coolFactor='0.03', startTemp='500'
20726.3425, 17.42343378988441, 21378.0131, 15, 2.6091, coolFactor='0.03', startTemp='500'
20734.0655, 17.37676503795844, 21387.6629, 15, 2.6157, coolFactor='0.03', startTemp='500'
20734.0675, 17.37676503795844, 21387.6649, 15, 2.6177, coolFactor='0.03', startTemp='500'
21822.9330, 17.342800600106635, 22511.4516, 15, 2.7526, coolFactor='0.03', startTemp='500'
21896.6441, 17.611183711460658, 22585.3360, 15, 2.7605, coolFactor='0.03', startTemp='500'
21897.4423, 17.53146998916192, 22587.0270, 15, 2.7670, coolFactor='0.03', startTemp='500'
21970.8369, 17.79493906138078, 22662.5837, 15, 2.7748, coolFactor='0.03', startTemp='500'
22000.7905, 17.75943011745041, 22694.6772, 15, 2.7948, coolFactor='0.03', startTemp='500'
22001.4531, 17.67950640437759, 22695.2269, 15, 2.8017, coolFactor='0.03', startTemp='500'
22002.6666, 17.602890839687614, 22697.3225, 15, 2.8080, coolFactor='0.03', startTemp='500'
22010.3498, 17.556935566442984, 22706.9442, 15, 2.8147, coolFactor='0.03', startTemp='500'
22037.6504, 17.601806628539265, 22734.2404, 15, 2.8213, coolFactor='0.03', startTemp='500'
